StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,Salary
2182,8.3,2,3,2,90,4.7,Yes,No,83,80,Placed,508184.0
2183,7.7,2,3,2,90,4.7,Yes,Yes,79,88,Placed,648660.0
2184,7.2,1,1,1,77,4.7,Yes,Yes,62,69,Placed,524864.0
2185,8.0,1,3,1,83,4.7,Yes,Yes,77,83,NotPlaced,0.0
2186,6.9,1,1,0,76,4.3,No,Yes,60,64,NotPlaced,0.0
2187,7.8,2,1,1,74,3.6,Yes,Yes,57,72,NotPlaced,0.0
2188,8.6,1,2,2,85,3.7,Yes,Yes,81,83,NotPlaced,0.0
2189,7.9,1,3,0,78,4.6,Yes,Yes,78,85,Placed,438834.0
2190,8.3,0,2,0,70,4.1,No,Yes,55,72,NotPlaced,0.0
2191,7.8,1,2,1,78,4.8,No,Yes,55,69,NotPlaced,0.0
2192,7.6,2,3,2,81,4.0,Yes,Yes,67,69,Placed,702140.0
2193,7.3,0,1,0,67,3.6,No,No,55,58,NotPlaced,0.0
2194,7.8,1,1,0,79,4.0,No,Yes,55,70,NotPlaced,0.0
2195,7.4,1,1,0,74,4.4,Yes,Yes,71,81,Placed,495799.0
2196,8.3,1,3,2,79,4.4,Yes,Yes,78,83,Placed,415249.0
2197,8.0,1,2,2,74,4.1,No,Yes,70,84,Placed,728923.0
2198,7.6,0,2,2,78,4.4,Yes,Yes,80,71,NotPlaced,0.0
2199,8.3,0,3,0,82,4.5,Yes,Yes,73,81,Placed,716634.0
2200,8.5,2,3,0,90,4.8,Yes,No,74,88,Placed,659817.0
2201,8.1,1,1,0,90,4.7,No,Yes,70,82,NotPlaced,0.0
2202,8.5,1,3,0,79,4.5,Yes,Yes,73,88,NotPlaced,0.0
2203,6.8,0,1,1,79,4.2,Yes,Yes,60,82,NotPlaced,0.0
2204,6.5,0,2,1,60,3.1,No,No,65,71,NotPlaced,0.0
2205,8.3,0,3,1,76,4.5,Yes,No,81,67,NotPlaced,0.0
2206,6.5,0,1,0,62,4.0,No,Yes,58,66,NotPlaced,0.0
2207,8.0,2,3,3,90,4.6,Yes,Yes,84,81,Placed,347911.0
2208,7.8,1,1,0,89,4.7,Yes,Yes,79,69,NotPlaced,0.0
2209,8.9,2,3,2,86,4.7,Yes,Yes,71,88,Placed,458980.0
2210,8.3,1,3,2,85,4.8,Yes,Yes,71,70,Placed,525948.0
2211,8.5,2,3,2,90,4.7,Yes,Yes,84,86,Placed,406235.0
2212,8.5,0,1,1,90,4.8,Yes,No,61,75,NotPlaced,0.0
2213,6.5,1,1,1,62,4.1,No,Yes,63,67,NotPlaced,0.0
2214,8.1,0,1,2,81,4.1,Yes,Yes,74,66,Placed,747074.0
2215,6.5,0,1,1,65,4.2,No,Yes,58,70,NotPlaced,0.0
2216,7.7,2,3,2,89,4.8,Yes,Yes,86,79,Placed,685962.0
2217,8.2,1,2,0,68,4.2,No,No,57,64,NotPlaced,0.0
2218,6.7,1,1,1,70,4.5,No,Yes,75,72,NotPlaced,0.0
2219,7.5,0,1,1,71,3.4,No,No,66,74,NotPlaced,0.0
2220,8.3,2,3,2,82,4.8,Yes,Yes,79,81,Placed,488998.0
2221,6.5,1,2,3,77,4.4,Yes,No,64,80,NotPlaced,0.0
2222,6.5,0,2,0,71,3.4,No,Yes,55,73,NotPlaced,0.0
2223,7.4,1,2,0,65,3.9,No,No,74,66,NotPlaced,0.0
2224,6.5,1,2,1,76,4.3,No,No,69,62,Placed,474877.0
2225,7.4,0,3,2,90,4.7,Yes,Yes,83,88,Placed,653174.0
2226,7.7,0,1,1,66,3.4,No,No,67,64,NotPlaced,0.0
2227,8.4,1,3,2,81,4.3,No,Yes,74,66,Placed,398233.0
2228,7.8,1,3,0,81,4.5,Yes,Yes,79,72,Placed,339295.0
2229,8.0,1,3,2,90,4.7,Yes,Yes,72,84,NotPlaced,0.0
2230,8.3,2,3,2,90,4.8,Yes,Yes,75,80,Placed,646559.0
2231,8.0,1,3,0,83,4.8,No,Yes,75,83,NotPlaced,0.0
2232,8.4,1,3,1,78,4.4,No,No,69,73,NotPlaced,0.0
2233,8.3,2,3,2,90,4.8,Yes,Yes,88,87,Placed,724361.0
2234,8.4,2,3,2,84,4.8,No,Yes,73,71,Placed,775196.0
2235,8.5,1,3,2,86,4.6,Yes,Yes,64,83,Placed,506057.0
2236,8.3,1,2,2,90,4.8,Yes,Yes,90,84,Placed,343120.0
2237,8.5,1,2,3,90,4.8,No,Yes,70,72,NotPlaced,0.0
2238,6.8,0,2,1,89,3.9,No,Yes,63,61,Placed,677773.0
2239,7.5,1,2,0,82,4.4,No,Yes,57,61,Placed,625562.0
2240,7.4,1,2,1,64,3.5,No,No,62,69,NotPlaced,0.0
2241,7.8,1,1,0,73,3.2,No,Yes,57,69,NotPlaced,0.0
2242,7.5,1,1,0,68,4.1,No,Yes,82,67,NotPlaced,0.0
2243,6.5,2,3,0,89,4.4,Yes,Yes,77,73,Placed,315043.0
2244,7.5,1,2,0,79,3.8,No,No,64,70,NotPlaced,0.0
2245,7.4,0,1,1,69,4.0,No,Yes,60,71,NotPlaced,0.0
2246,8.0,1,2,1,83,4.0,Yes,Yes,75,68,Placed,404987.0
2247,8.5,2,2,2,69,4.4,No,Yes,76,81,NotPlaced,0.0
2248,7.8,1,3,0,87,4.1,Yes,Yes,66,63,NotPlaced,0.0
2249,6.6,0,2,0,64,4.2,No,No,55,85,NotPlaced,0.0
2250,8.5,1,2,1,76,3.8,No,Yes,58,70,NotPlaced,0.0
2251,6.5,1,2,1,66,4.2,No,No,55,72,NotPlaced,0.0
2252,7.6,1,3,3,78,4.7,Yes,No,86,74,Placed,314601.0
2253,7.7,1,1,1,75,4.6,No,Yes,72,75,NotPlaced,0.0
2254,8.0,2,3,0,90,4.4,Yes,Yes,72,85,Placed,617194.0
2255,8.0,1,3,2,86,4.8,Yes,No,84,85,Placed,574449.0
2256,6.8,1,2,0,75,4.5,Yes,Yes,76,80,NotPlaced,0.0
2257,8.2,1,3,2,79,4.1,Yes,Yes,78,65,Placed,642411.0
2258,8.1,2,3,2,86,4.5,Yes,Yes,84,81,Placed,420626.0
2259,8.3,1,2,0,82,4.6,Yes,Yes,85,86,Placed,334958.0
2260,8.2,2,3,2,90,4.8,Yes,Yes,80,86,Placed,472381.0
2261,7.6,1,2,0,85,4.6,No,Yes,78,73,NotPlaced,0.0
2262,6.5,1,2,0,76,4.2,No,Yes,55,65,NotPlaced,0.0
2263,8.3,1,2,1,84,4.7,Yes,Yes,59,69,NotPlaced,0.0
2264,7.4,0,1,0,85,3.9,No,Yes,68,63,NotPlaced,0.0
2265,7.6,1,2,0,77,4.1,No,Yes,68,72,Placed,757756.0
2266,8.4,2,3,1,83,4.6,Yes,Yes,79,83,Placed,766788.0
2267,7.4,1,1,0,74,4.1,No,Yes,56,62,NotPlaced,0.0
2268,8.0,1,1,0,77,3.9,Yes,Yes,72,68,Placed,381807.0
2269,8.2,0,3,2,80,4.8,Yes,Yes,80,83,Placed,318737.0
2270,8.2,1,2,2,89,4.3,Yes,Yes,76,83,Placed,690654.0
2271,8.0,0,2,2,83,4.6,Yes,Yes,82,78,NotPlaced,0.0
2272,7.8,2,3,0,75,4.5,Yes,Yes,72,81,Placed,311056.0
2273,8.0,1,2,1,80,3.4,Yes,Yes,76,82,NotPlaced,0.0
2274,6.5,2,2,2,79,4.4,No,No,80,71,Placed,363943.0
2275,6.5,1,1,0,62,4.0,No,No,61,74,NotPlaced,0.0
2276,7.9,1,1,1,78,4.2,No,No,55,69,NotPlaced,0.0
2277,6.5,0,1,0,73,3.7,No,No,72,67,NotPlaced,0.0
2278,7.8,1,3,2,90,4.8,Yes,Yes,79,83,Placed,477168.0
2279,7.8,1,2,0,72,4.5,No,Yes,55,69,NotPlaced,0.0
2280,8.0,2,3,2,87,4.5,Yes,Yes,71,85,Placed,609809.0
2281,8.3,0,3,2,74,4.1,Yes,Yes,70,84,NotPlaced,0.0
2282,6.6,1,1,0,68,3.9,Yes,Yes,55,67,Placed,454687.0
2283,7.5,1,3,1,78,4.0,No,No,83,73,NotPlaced,0.0
2284,7.6,1,1,1,70,4.5,No,No,62,71,NotPlaced,0.0
2285,7.7,0,1,0,65,3.9,No,No,74,69,NotPlaced,0.0
2286,7.4,1,2,0,80,4.3,No,Yes,65,67,NotPlaced,0.0
2287,8.5,1,1,0,75,4.2,Yes,Yes,58,71,NotPlaced,0.0
2288,7.5,1,2,1,67,3.3,No,Yes,55,67,NotPlaced,0.0
2289,7.6,1,3,0,82,4.8,Yes,Yes,69,84,Placed,436571.0
2290,8.0,1,2,1,80,4.2,Yes,No,77,69,NotPlaced,0.0
2291,8.7,1,3,2,80,4.7,Yes,Yes,76,82,Placed,356850.0
2292,6.5,0,2,0,76,3.6,No,Yes,55,66,NotPlaced,0.0
2293,8.2,1,3,2,76,4.4,Yes,Yes,66,86,NotPlaced,0.0
2294,6.5,1,1,0,80,4.4,No,Yes,59,69,NotPlaced,0.0
2295,8.4,2,3,2,90,4.5,Yes,No,75,86,Placed,745500.0
2296,7.9,2,1,2,81,4.8,Yes,No,82,82,Placed,547920.0
2297,7.6,1,2,0,71,4.1,No,No,56,63,NotPlaced,0.0
2298,7.5,1,1,1,73,4.2,Yes,Yes,64,72,NotPlaced,0.0
2299,7.5,1,1,1,62,4.3,No,No,60,61,NotPlaced,0.0
2300,8.4,0,1,1,67,4.1,No,No,78,58,Placed,708605.0
2301,8.8,0,3,0,82,4.8,Yes,Yes,63,78,Placed,756643.0
2302,8.0,1,3,3,90,4.8,Yes,Yes,82,84,Placed,322511.0
2303,8.6,2,3,2,90,4.5,Yes,Yes,84,82,Placed,526659.0
2304,8.4,2,3,2,90,4.8,Yes,Yes,77,77,NotPlaced,0.0
2305,8.2,1,3,2,90,3.6,Yes,Yes,75,80,Placed,646265.0
2306,7.3,1,1,1,64,4.1,No,No,59,60,NotPlaced,0.0
2307,6.5,1,2,2,75,4.1,Yes,Yes,66,70,Placed,517577.0
2308,7.4,1,1,1,63,3.6,No,No,65,65,NotPlaced,0.0
2309,8.0,2,1,0,77,4.5,No,Yes,59,65,NotPlaced,0.0
2310,7.9,1,2,0,80,4.5,No,Yes,59,66,NotPlaced,0.0
2311,8.3,0,3,0,88,4.7,Yes,Yes,70,80,NotPlaced,0.0
2312,7.0,1,3,1,90,4.7,Yes,Yes,74,60,NotPlaced,0.0
2313,6.5,1,2,0,80,4.4,No,Yes,59,68,NotPlaced,0.0
2314,8.2,1,3,0,77,4.3,No,No,55,73,NotPlaced,0.0
2315,8.7,1,2,1,90,4.6,No,No,74,68,NotPlaced,0.0
2316,7.5,1,1,0,76,4.5,Yes,Yes,79,88,Placed,641489.0
2317,7.6,1,1,0,60,4.0,No,No,56,64,NotPlaced,0.0
2318,7.6,1,3,0,84,4.1,No,No,57,73,NotPlaced,0.0
2319,8.3,1,3,2,89,4.7,Yes,Yes,72,80,NotPlaced,0.0
2320,7.4,0,1,1,90,4.8,Yes,Yes,71,69,NotPlaced,0.0
2321,7.6,1,2,0,79,4.1,No,Yes,71,62,NotPlaced,0.0
2322,7.4,1,2,1,62,4.5,Yes,Yes,60,66,NotPlaced,0.0
2323,7.5,0,1,1,71,4.4,Yes,Yes,79,74,NotPlaced,0.0
2324,7.7,1,1,0,75,3.6,No,Yes,59,71,NotPlaced,0.0
2325,6.5,2,2,1,81,4.8,No,No,61,69,NotPlaced,0.0
2326,7.4,2,3,1,79,4.4,No,Yes,75,73,NotPlaced,0.0
2327,7.5,1,1,0,67,4.3,No,No,61,69,NotPlaced,0.0
2328,7.8,1,3,0,90,4.6,No,Yes,64,83,NotPlaced,0.0
2329,8.1,1,1,0,72,4.0,No,No,85,62,NotPlaced,0.0
2330,8.0,1,3,0,83,4.1,Yes,Yes,82,83,Placed,545884.0
2331,7.4,2,2,1,78,4.3,Yes,No,68,69,NotPlaced,0.0
2332,8.6,2,3,2,86,4.1,Yes,Yes,75,85,Placed,699387.0
2333,7.6,1,3,1,73,3.9,Yes,No,72,73,Placed,769794.0
2334,8.0,0,3,2,90,4.8,Yes,Yes,79,83,Placed,617538.0
2335,7.6,1,3,2,90,4.3,Yes,Yes,55,86,Placed,431943.0
2336,7.3,1,1,1,73,4.0,No,Yes,55,67,NotPlaced,0.0
2337,7.5,1,2,1,90,3.4,No,Yes,59,72,NotPlaced,0.0
2338,8.0,1,3,2,84,4.7,Yes,Yes,90,86,Placed,433541.0
2339,8.5,0,3,3,84,4.6,No,Yes,86,70,NotPlaced,0.0
2340,8.6,1,3,1,88,4.8,Yes,Yes,71,80,NotPlaced,0.0
2341,6.6,1,1,0,69,4.2,Yes,Yes,55,69,NotPlaced,0.0
2342,7.7,1,1,1,79,3.9,No,Yes,55,61,NotPlaced,0.0
2343,8.7,2,2,1,72,4.6,Yes,Yes,77,77,NotPlaced,0.0
2344,7.5,1,2,0,65,3.5,No,No,55,63,NotPlaced,0.0
2345,6.7,1,1,1,76,4.6,No,No,62,68,NotPlaced,0.0
2346,7.2,1,3,2,81,4.8,No,Yes,83,84,Placed,532007.0
2347,6.9,1,1,1,76,4.8,Yes,Yes,58,66,NotPlaced,0.0
2348,8.2,2,3,2,86,4.7,Yes,Yes,84,88,Placed,514570.0
2349,8.5,2,3,2,84,4.6,Yes,Yes,74,83,Placed,554479.0
2350,8.2,0,3,0,90,4.3,Yes,Yes,79,86,NotPlaced,0.0
2351,7.3,1,1,1,77,4.1,No,No,58,74,NotPlaced,0.0
2352,7.6,1,2,1,71,4.1,No,Yes,61,66,NotPlaced,0.0
2353,6.5,1,3,2,85,3.7,Yes,Yes,79,86,Placed,584376.0
2354,7.4,1,3,0,83,3.8,No,Yes,69,85,NotPlaced,0.0
2355,8.0,2,3,2,90,4.8,Yes,Yes,88,83,Placed,553706.0
2356,8.2,2,1,2,77,4.8,Yes,Yes,60,79,NotPlaced,0.0
2357,7.5,1,1,0,66,4.1,No,No,63,60,NotPlaced,0.0
2358,8.1,2,2,1,90,4.7,Yes,Yes,68,88,Placed,441349.0
2359,6.5,1,3,0,87,4.8,No,No,65,86,NotPlaced,0.0
2360,8.8,1,3,0,86,4.4,Yes,Yes,63,72,NotPlaced,0.0
2361,7.4,1,2,1,73,4.5,No,No,56,69,NotPlaced,0.0
2362,8.2,2,3,2,90,4.7,Yes,Yes,72,84,Placed,484895.0
2363,7.7,1,2,0,74,3.8,Yes,Yes,58,63,NotPlaced,0.0
2364,8.5,2,3,2,86,4.8,Yes,Yes,78,87,Placed,448239.0
2365,8.6,1,3,1,83,4.7,Yes,Yes,78,81,Placed,663927.0
2366,8.6,1,2,0,86,4.1,Yes,Yes,55,82,NotPlaced,0.0
2367,7.7,1,3,2,86,4.5,No,Yes,65,88,NotPlaced,0.0
2368,8.2,2,3,2,90,4.2,Yes,Yes,83,77,Placed,736109.0
2369,6.5,1,2,1,86,4.3,Yes,Yes,84,88,Placed,345268.0
2370,9.0,2,3,2,88,4.8,No,Yes,72,84,Placed,431931.0
2371,7.5,0,2,1,73,3.6,No,No,56,71,NotPlaced,0.0
2372,7.8,0,2,0,74,4.2,No,Yes,55,68,NotPlaced,0.0
2373,8.3,0,3,0,88,3.4,Yes,Yes,76,87,Placed,570246.0
2374,6.5,2,1,1,77,4.2,Yes,Yes,58,64,NotPlaced,0.0
2375,6.5,0,2,3,85,4.5,Yes,Yes,55,71,Placed,562735.0
2376,7.4,1,1,0,77,3.6,No,No,55,65,NotPlaced,0.0
2377,8.2,2,3,2,90,4.8,Yes,Yes,76,85,Placed,419455.0
2378,8.5,2,3,2,90,4.8,Yes,Yes,82,88,Placed,761149.0
2379,8.6,2,3,2,90,4.8,Yes,Yes,65,82,Placed,611618.0
2380,8.5,1,1,2,72,4.0,Yes,Yes,80,82,Placed,367076.0
2381,7.8,1,3,2,83,4.2,Yes,Yes,78,80,NotPlaced,0.0
2382,8.4,2,3,2,83,4.8,Yes,Yes,77,86,Placed,656038.0
2383,8.5,2,1,1,73,4.5,Yes,No,64,79,NotPlaced,0.0
2384,7.7,1,1,1,70,4.3,Yes,Yes,75,70,NotPlaced,0.0
2385,7.5,1,2,0,81,4.8,Yes,Yes,55,79,NotPlaced,0.0
2386,6.5,1,3,1,90,4.5,No,No,74,62,NotPlaced,0.0
2387,7.8,1,2,0,83,4.8,Yes,Yes,78,80,Placed,409673.0
2388,7.6,1,1,1,76,4.2,Yes,Yes,67,65,Placed,569956.0
2389,7.6,1,1,1,85,4.1,No,Yes,85,70,NotPlaced,0.0
2390,6.5,0,1,0,90,4.5,Yes,Yes,56,82,NotPlaced,0.0
2391,8.0,2,2,1,82,3.9,Yes,Yes,63,68,NotPlaced,0.0
2392,7.5,2,1,1,65,4.0,No,Yes,56,62,NotPlaced,0.0
2393,7.8,1,1,0,63,4.4,No,Yes,55,68,NotPlaced,0.0
2394,6.9,0,3,2,82,4.8,Yes,Yes,85,79,Placed,447336.0
2395,8.6,1,3,2,88,4.6,No,Yes,72,83,Placed,331439.0
2396,7.0,0,3,1,67,3.6,Yes,Yes,57,82,NotPlaced,0.0
2397,8.8,2,1,2,83,4.8,Yes,Yes,84,87,Placed,600779.0
2398,7.4,1,2,0,87,3.5,No,Yes,61,67,NotPlaced,0.0
2399,6.7,1,1,1,69,4.0,No,No,55,67,NotPlaced,0.0
2400,7.7,1,1,0,72,4.2,No,No,55,63,NotPlaced,0.0
2401,7.4,1,1,2,68,4.3,No,Yes,61,60,NotPlaced,0.0
2402,8.3,1,2,0,72,4.2,No,No,63,74,NotPlaced,0.0
2403,8.2,2,3,0,87,4.7,Yes,Yes,83,88,Placed,323046.0
2404,8.0,1,3,1,77,4.5,Yes,Yes,71,85,NotPlaced,0.0
2405,7.8,1,1,0,81,4.5,Yes,Yes,55,63,NotPlaced,0.0
2406,7.6,1,1,2,77,3.9,No,Yes,55,71,NotPlaced,0.0
2407,7.6,0,1,0,83,3.2,No,No,55,65,NotPlaced,0.0
2408,7.4,1,3,2,83,4.5,Yes,No,84,79,Placed,593798.0
2409,6.5,1,1,1,79,4.1,No,No,61,67,Placed,772181.0
2410,7.9,1,1,1,76,4.4,Yes,Yes,65,85,NotPlaced,0.0
2411,8.4,0,3,0,80,4.3,Yes,Yes,82,83,NotPlaced,0.0
2412,8.7,1,2,2,74,4.1,Yes,Yes,75,87,Placed,330724.0
2413,8.5,2,2,2,89,4.6,Yes,Yes,55,84,Placed,571550.0
2414,8.0,2,3,2,90,4.8,Yes,Yes,76,86,Placed,684609.0
2415,7.4,1,3,0,78,4.6,Yes,Yes,74,82,NotPlaced,0.0
2416,8.2,2,3,2,87,4.8,Yes,Yes,87,88,Placed,731260.0
2417,7.3,1,2,0,69,3.7,No,Yes,55,68,NotPlaced,0.0
2418,7.5,0,3,0,78,4.7,No,No,55,70,NotPlaced,0.0
2419,7.5,1,2,0,78,3.9,Yes,Yes,87,76,NotPlaced,0.0
2420,7.6,0,2,0,68,3.9,No,Yes,64,61,NotPlaced,0.0
2421,7.9,2,3,3,90,4.7,Yes,No,77,61,Placed,489270.0
2422,7.5,1,1,0,67,4.2,No,No,57,60,NotPlaced,0.0
2423,7.6,1,2,2,74,4.2,No,Yes,81,68,NotPlaced,0.0
2424,8.0,1,2,2,87,4.8,Yes,Yes,90,68,Placed,368359.0
2425,7.6,1,1,1,68,4.0,No,Yes,61,68,NotPlaced,0.0
2426,8.0,2,3,2,89,4.1,Yes,Yes,75,85,Placed,670379.0
2427,6.5,0,1,1,84,3.6,No,No,61,63,NotPlaced,0.0
2428,8.2,1,1,1,87,4.7,Yes,Yes,55,81,NotPlaced,0.0
2429,7.3,1,1,0,84,3.9,No,Yes,55,69,NotPlaced,0.0
2430,8.4,2,3,2,90,4.8,Yes,Yes,82,87,Placed,467031.0
2431,7.9,2,3,2,90,4.6,Yes,Yes,82,81,Placed,498817.0
2432,7.4,1,1,1,69,3.9,Yes,Yes,63,66,NotPlaced,0.0
2433,6.5,0,1,1,76,4.7,Yes,No,82,64,NotPlaced,0.0
2434,7.7,1,1,0,70,3.9,Yes,Yes,71,82,NotPlaced,0.0
2435,8.4,0,3,2,90,4.8,Yes,Yes,83,83,Placed,474334.0
2436,8.0,1,2,0,61,3.6,Yes,No,59,64,NotPlaced,0.0
2437,7.7,0,1,1,90,4.3,Yes,Yes,75,75,Placed,586794.0
2438,7.6,1,2,0,70,4.7,No,Yes,60,64,Placed,530752.0
2439,7.4,0,2,0,76,4.5,No,Yes,72,85,NotPlaced,0.0
2440,6.8,1,2,0,75,4.2,No,Yes,77,57,NotPlaced,0.0
2441,8.0,0,3,2,76,4.7,Yes,Yes,77,82,Placed,575603.0
2442,8.4,2,3,2,90,4.5,Yes,Yes,83,86,Placed,742829.0
2443,7.4,2,2,0,69,4.1,No,No,59,75,NotPlaced,0.0
2444,7.8,1,3,1,75,4.4,Yes,Yes,59,72,NotPlaced,0.0
2445,6.5,1,1,2,68,3.5,No,No,76,61,NotPlaced,0.0
2446,8.7,0,3,2,81,4.5,Yes,Yes,80,66,Placed,448661.0
2447,8.4,2,1,1,88,4.8,Yes,Yes,85,84,NotPlaced,0.0
2448,7.8,0,1,0,67,4.1,Yes,No,59,69,NotPlaced,0.0
2449,6.7,1,1,0,63,4.6,No,No,67,66,NotPlaced,0.0
2450,8.6,2,3,2,90,4.8,Yes,Yes,82,87,Placed,506898.0
2451,8.0,1,3,2,82,4.8,No,Yes,61,87,Placed,733180.0
2452,7.8,2,1,0,86,4.3,No,Yes,78,80,Placed,543148.0
2453,7.6,0,1,1,75,3.6,No,Yes,59,62,NotPlaced,0.0
2454,8.0,1,2,3,74,4.0,Yes,Yes,78,83,Placed,325318.0
2455,7.2,1,1,0,82,4.0,No,Yes,82,74,Placed,752678.0
2456,7.9,1,3,0,83,4.8,No,No,76,82,NotPlaced,0.0
2457,7.8,2,3,2,90,3.9,Yes,Yes,60,87,NotPlaced,0.0
2458,8.1,0,2,3,72,3.2,Yes,Yes,73,83,Placed,511607.0
2459,8.4,2,3,3,83,4.7,Yes,No,69,83,NotPlaced,0.0
2460,7.6,1,2,0,71,4.8,No,Yes,58,67,NotPlaced,0.0
2461,8.4,2,2,0,83,4.8,Yes,No,71,66,Placed,341510.0
2462,7.6,1,1,0,70,4.1,No,No,61,63,NotPlaced,0.0
2463,7.9,0,1,0,64,4.1,Yes,Yes,63,67,NotPlaced,0.0
2464,7.6,1,2,1,86,4.4,Yes,Yes,90,79,NotPlaced,0.0
2465,7.5,0,2,0,90,4.8,No,Yes,55,79,NotPlaced,0.0
2466,7.6,1,1,1,84,4.1,No,No,55,66,NotPlaced,0.0
2467,7.5,1,2,0,79,4.3,No,Yes,58,67,NotPlaced,0.0
2468,7.9,1,1,1,89,4.0,No,Yes,81,70,NotPlaced,0.0
2469,7.9,2,3,3,78,4.5,Yes,Yes,71,87,Placed,612978.0
2470,7.6,1,3,0,68,4.2,Yes,Yes,88,82,NotPlaced,0.0
2471,8.1,1,1,0,70,4.3,Yes,No,68,61,NotPlaced,0.0
2472,7.6,2,1,0,73,4.6,Yes,Yes,78,73,NotPlaced,0.0
2473,7.9,2,1,2,75,3.9,Yes,No,77,80,NotPlaced,0.0
2474,8.5,2,3,2,88,4.8,Yes,Yes,77,85,NotPlaced,0.0
2475,7.5,2,3,0,88,4.6,Yes,Yes,72,86,NotPlaced,0.0
2476,7.7,1,2,0,73,3.8,No,Yes,55,74,NotPlaced,0.0
2477,7.6,1,1,2,67,3.8,No,Yes,57,70,Placed,390377.0
2478,8.3,2,3,2,85,4.5,Yes,Yes,87,80,Placed,572448.0
2479,7.4,1,2,1,72,3.3,Yes,Yes,81,69,Placed,318081.0
2480,8.2,1,1,1,84,3.9,Yes,Yes,61,60,Placed,448606.0
2481,6.6,1,1,1,77,3.0,No,No,57,68,NotPlaced,0.0
2482,8.6,1,3,2,90,4.8,Yes,Yes,80,80,Placed,410592.0
2483,7.6,1,2,2,76,4.5,Yes,Yes,76,81,NotPlaced,0.0
2484,8.6,1,3,0,83,4.8,Yes,Yes,81,86,Placed,656546.0
2485,7.7,1,0,0,75,4.1,Yes,Yes,71,61,Placed,436510.0
2486,8.0,1,2,0,72,4.8,Yes,No,87,67,NotPlaced,0.0
2487,8.1,1,3,2,85,4.7,Yes,Yes,68,88,Placed,615852.0
2488,6.5,1,2,1,82,4.0,No,Yes,55,62,NotPlaced,0.0
2489,7.7,1,3,0,86,4.1,Yes,Yes,77,58,NotPlaced,0.0
2490,8.2,1,1,2,72,4.4,No,No,83,68,NotPlaced,0.0
2491,7.7,2,2,2,90,4.8,Yes,Yes,79,83,Placed,597579.0
2492,8.6,1,2,2,90,4.6,Yes,Yes,81,87,Placed,548682.0
2493,8.0,0,1,0,70,3.6,No,No,56,63,NotPlaced,0.0
2494,7.5,1,2,0,71,4.0,Yes,No,55,66,NotPlaced,0.0
2495,7.9,1,3,2,90,4.6,Yes,Yes,81,88,Placed,662830.0
2496,7.4,1,1,1,66,4.0,No,Yes,55,67,NotPlaced,0.0
2497,8.0,0,3,1,80,4.6,Yes,Yes,86,84,Placed,414492.0
2498,8.4,1,2,0,82,4.4,Yes,Yes,71,83,NotPlaced,0.0
2499,7.6,1,1,0,83,4.3,No,Yes,57,71,NotPlaced,0.0
2500,8.5,0,1,0,81,4.2,Yes,Yes,74,65,Placed,427966.0
2501,8.0,1,2,0,90,4.3,Yes,Yes,75,70,NotPlaced,0.0
2502,7.8,0,2,0,80,4.1,No,Yes,60,83,Placed,707636.0
2503,7.7,1,1,0,67,4.0,No,No,55,69,NotPlaced,0.0
2504,7.8,2,3,2,84,4.7,Yes,Yes,81,86,Placed,401755.0
2505,7.5,1,2,2,72,3.9,Yes,Yes,55,71,NotPlaced,0.0
2506,8.3,1,3,2,90,4.8,Yes,Yes,85,86,Placed,580161.0
2507,8.3,1,0,0,73,4.6,Yes,Yes,70,85,Placed,740683.0
2508,6.9,0,2,0,79,4.1,No,Yes,63,64,NotPlaced,0.0
2509,6.8,1,1,1,72,4.3,No,Yes,65,60,Placed,417336.0
2510,7.3,1,1,1,66,3.6,No,Yes,55,65,NotPlaced,0.0
2511,8.2,2,3,2,87,4.8,Yes,Yes,77,86,Placed,504584.0
2512,8.1,0,2,0,81,4.8,No,Yes,88,82,NotPlaced,0.0
2513,6.8,1,1,1,78,4.1,Yes,No,78,86,NotPlaced,0.0
2514,7.7,1,2,0,68,3.7,No,Yes,74,71,NotPlaced,0.0
2515,7.4,2,1,0,74,4.5,Yes,Yes,67,68,NotPlaced,0.0
2516,8.2,2,3,2,90,4.5,Yes,Yes,90,67,Placed,732931.0
2517,8.0,1,3,0,89,4.5,Yes,Yes,79,78,Placed,445341.0
2518,6.7,2,3,2,85,4.2,Yes,Yes,64,64,NotPlaced,0.0
2519,6.8,0,1,1,62,3.5,No,No,55,63,NotPlaced,0.0
2520,7.7,0,2,0,81,4.2,No,Yes,75,60,NotPlaced,0.0
2521,7.6,1,1,0,69,3.9,No,No,59,64,NotPlaced,0.0
2522,8.1,1,1,2,76,4.0,No,Yes,71,71,NotPlaced,0.0
2523,7.5,1,2,0,75,3.9,No,No,56,66,NotPlaced,0.0
2524,8.4,1,3,2,85,4.8,Yes,Yes,76,82,Placed,443921.0
2525,7.8,0,2,1,74,4.5,No,Yes,74,81,Placed,436319.0
2526,6.9,0,1,1,73,3.5,No,Yes,69,63,NotPlaced,0.0
2527,8.2,0,2,1,68,4.3,Yes,Yes,62,68,Placed,575866.0
2528,7.0,0,1,1,75,4.0,No,Yes,58,73,NotPlaced,0.0
2529,6.8,1,2,2,76,3.7,Yes,Yes,55,63,NotPlaced,0.0
